"STATION","NAME","DATE","TAVG"
"GME00127822","BERLIN MARZAHN, GM","2020-08-12",
"GME00127822","BERLIN MARZAHN, GM","2020-08-13",
"GME00127822","BERLIN MARZAHN, GM","2020-08-14",
"GME00127822","BERLIN MARZAHN, GM","2020-08-15",
"GME00127822","BERLIN MARZAHN, GM","2020-08-16",
"GME00127822","BERLIN MARZAHN, GM","2020-08-17",
"GME00127822","BERLIN MARZAHN, GM","2020-08-18",
"GME00127822","BERLIN MARZAHN, GM","2020-08-19",
"GME00127822","BERLIN MARZAHN, GM","2020-08-20",
"GME00127822","BERLIN MARZAHN, GM","2020-08-21",
"GME00127822","BERLIN MARZAHN, GM","2020-08-22",
"GME00127822","BERLIN MARZAHN, GM","2020-08-23",
"GME00127822","BERLIN MARZAHN, GM","2020-08-24",
"GME00127822","BERLIN MARZAHN, GM","2020-08-25",
"GME00127822","BERLIN MARZAHN, GM","2020-08-26",
"GME00127822","BERLIN MARZAHN, GM","2020-08-27",
"GME00127822","BERLIN MARZAHN, GM","2020-08-28",
"GME00127822","BERLIN MARZAHN, GM","2020-08-29",
"GME00127822","BERLIN MARZAHN, GM","2020-08-30",
"GME00127822","BERLIN MARZAHN, GM","2020-08-31",
"GME00127822","BERLIN MARZAHN, GM","2020-09-01",
"GME00127822","BERLIN MARZAHN, GM","2020-09-02",
"GME00127822","BERLIN MARZAHN, GM","2020-09-03",
"GME00127822","BERLIN MARZAHN, GM","2020-09-04",
"GME00127822","BERLIN MARZAHN, GM","2020-09-05",
"GME00127822","BERLIN MARZAHN, GM","2020-09-06",
"GME00127822","BERLIN MARZAHN, GM","2020-09-07",
"GME00127822","BERLIN MARZAHN, GM","2020-09-08",
"GME00127822","BERLIN MARZAHN, GM","2020-09-09",
"GME00127822","BERLIN MARZAHN, GM","2020-09-10",
"GME00127822","BERLIN MARZAHN, GM","2020-09-11",
"GME00127822","BERLIN MARZAHN, GM","2020-09-12",
"GME00127822","BERLIN MARZAHN, GM","2020-09-13",
"GME00127822","BERLIN MARZAHN, GM","2020-09-14",
"GME00127822","BERLIN MARZAHN, GM","2020-09-15",
"GME00127822","BERLIN MARZAHN, GM","2020-09-16",
"GME00127822","BERLIN MARZAHN, GM","2020-09-17",
"GME00127822","BERLIN MARZAHN, GM","2020-09-18",
"GME00127822","BERLIN MARZAHN, GM","2020-09-19",
"GME00127822","BERLIN MARZAHN, GM","2020-09-20",
"GME00127822","BERLIN MARZAHN, GM","2020-09-21",
"GME00127822","BERLIN MARZAHN, GM","2020-09-22",
"GME00127822","BERLIN MARZAHN, GM","2020-09-23",
"GME00127822","BERLIN MARZAHN, GM","2020-09-24",
"GME00127822","BERLIN MARZAHN, GM","2020-09-25",
"GME00127822","BERLIN MARZAHN, GM","2020-09-26",
"GME00127822","BERLIN MARZAHN, GM","2020-09-27",
"GME00127822","BERLIN MARZAHN, GM","2020-09-28",
"GME00127822","BERLIN MARZAHN, GM","2020-09-29",
"GME00127822","BERLIN MARZAHN, GM","2020-09-30",
"GME00127822","BERLIN MARZAHN, GM","2020-10-01",
"GME00127822","BERLIN MARZAHN, GM","2020-10-02",
"GME00127822","BERLIN MARZAHN, GM","2020-10-03",
"GME00127822","BERLIN MARZAHN, GM","2020-10-04",
"GME00127822","BERLIN MARZAHN, GM","2020-10-05",
"GME00127822","BERLIN MARZAHN, GM","2020-10-06",
"GME00127822","BERLIN MARZAHN, GM","2020-10-07",
"GME00127822","BERLIN MARZAHN, GM","2020-10-08",
"GME00127822","BERLIN MARZAHN, GM","2020-10-09",
"GME00127822","BERLIN MARZAHN, GM","2020-10-10",
"GME00127822","BERLIN MARZAHN, GM","2020-10-11",
"GME00127822","BERLIN MARZAHN, GM","2020-10-12",
"GME00127822","BERLIN MARZAHN, GM","2020-10-13",
"GME00127822","BERLIN MARZAHN, GM","2020-10-14",
"GME00127822","BERLIN MARZAHN, GM","2020-10-15",
"GME00127822","BERLIN MARZAHN, GM","2020-10-16",
"GME00127822","BERLIN MARZAHN, GM","2020-10-17",
"GME00127822","BERLIN MARZAHN, GM","2020-10-18",
"GME00127822","BERLIN MARZAHN, GM","2020-10-19",
"GME00127822","BERLIN MARZAHN, GM","2020-10-20",
"GME00127822","BERLIN MARZAHN, GM","2020-10-21",
"GME00127822","BERLIN MARZAHN, GM","2020-10-22",
"GME00127822","BERLIN MARZAHN, GM","2020-10-23",
"GME00127822","BERLIN MARZAHN, GM","2020-10-24",
"GME00127822","BERLIN MARZAHN, GM","2020-10-25",
"GME00127822","BERLIN MARZAHN, GM","2020-10-26",
"GME00127822","BERLIN MARZAHN, GM","2020-10-27",
"GME00127822","BERLIN MARZAHN, GM","2020-10-28",
"GME00127822","BERLIN MARZAHN, GM","2020-10-29",
"GME00127822","BERLIN MARZAHN, GM","2020-10-30",
"GME00127822","BERLIN MARZAHN, GM","2020-10-31",
"GME00127930","BERLIN SCHONEFELD, GM","2020-01-01",
"GME00127930","BERLIN SCHONEFELD, GM","2020-01-02",
"GME00127930","BERLIN SCHONEFELD, GM","2020-01-03",
"GME00127930","BERLIN SCHONEFELD, GM","2020-01-04",
"GME00127930","BERLIN SCHONEFELD, GM","2020-01-05",
"GME00127930","BERLIN SCHONEFELD, GM","2020-01-06",
"GME00127930","BERLIN SCHONEFELD, GM","2020-01-07",
"GME00127930","BERLIN SCHONEFELD, GM","2020-01-08",
"GME00127930","BERLIN SCHONEFELD, GM","2020-01-09",
"GME00127930","BERLIN SCHONEFELD, GM","2020-01-10",
"GME00127930","BERLIN SCHONEFELD, GM","2020-01-11",
"GME00127930","BERLIN SCHONEFELD, GM","2020-01-12",
"GME00127930","BERLIN SCHONEFELD, GM","2020-01-13",
"GME00127930","BERLIN SCHONEFELD, GM","2020-01-14",
"GME00127930","BERLIN SCHONEFELD, GM","2020-01-15",
"GME00127930","BERLIN SCHONEFELD, GM","2020-01-16",
"GME00127930","BERLIN SCHONEFELD, GM","2020-01-17",
"GME00127930","BERLIN SCHONEFELD, GM","2020-01-18",
"GME00127930","BERLIN SCHONEFELD, GM","2020-01-19",
"GME00127930","BERLIN SCHONEFELD, GM","2020-01-20",
"GME00127930","BERLIN SCHONEFELD, GM","2020-01-21",
"GME00127930","BERLIN SCHONEFELD, GM","2020-01-22",
"GME00127930","BERLIN SCHONEFELD, GM","2020-01-23",
"GME00127930","BERLIN SCHONEFELD, GM","2020-01-24",
"GME00127930","BERLIN SCHONEFELD, GM","2020-01-25",
"GME00127930","BERLIN SCHONEFELD, GM","2020-01-26",
"GME00127930","BERLIN SCHONEFELD, GM","2020-01-27",
"GME00127930","BERLIN SCHONEFELD, GM","2020-01-28",
"GME00127930","BERLIN SCHONEFELD, GM","2020-01-29",
"GME00127930","BERLIN SCHONEFELD, GM","2020-01-30",
"GME00127930","BERLIN SCHONEFELD, GM","2020-01-31",
"GME00127930","BERLIN SCHONEFELD, GM","2020-02-01",
"GME00127930","BERLIN SCHONEFELD, GM","2020-02-02",
"GME00127930","BERLIN SCHONEFELD, GM","2020-02-03",
"GME00127930","BERLIN SCHONEFELD, GM","2020-02-04",
"GME00127930","BERLIN SCHONEFELD, GM","2020-02-05",
"GME00127930","BERLIN SCHONEFELD, GM","2020-02-06",
"GME00127930","BERLIN SCHONEFELD, GM","2020-02-07",
"GME00127930","BERLIN SCHONEFELD, GM","2020-02-08",
"GME00127930","BERLIN SCHONEFELD, GM","2020-02-09",
"GME00127930","BERLIN SCHONEFELD, GM","2020-02-10",
"GME00127930","BERLIN SCHONEFELD, GM","2020-02-11",
"GME00127930","BERLIN SCHONEFELD, GM","2020-02-12",
"GME00127930","BERLIN SCHONEFELD, GM","2020-02-13",
"GME00127930","BERLIN SCHONEFELD, GM","2020-02-14",
"GME00127930","BERLIN SCHONEFELD, GM","2020-02-15",
"GME00127930","BERLIN SCHONEFELD, GM","2020-02-16",
"GME00127930","BERLIN SCHONEFELD, GM","2020-02-17",
"GME00127930","BERLIN SCHONEFELD, GM","2020-02-18",
"GME00127930","BERLIN SCHONEFELD, GM","2020-02-19",
"GME00127930","BERLIN SCHONEFELD, GM","2020-02-20",
"GME00127930","BERLIN SCHONEFELD, GM","2020-02-21",
"GME00127930","BERLIN SCHONEFELD, GM","2020-02-22",
"GME00127930","BERLIN SCHONEFELD, GM","2020-02-23",
"GME00127930","BERLIN SCHONEFELD, GM","2020-02-24",
"GME00127930","BERLIN SCHONEFELD, GM","2020-02-25",
"GME00127930","BERLIN SCHONEFELD, GM","2020-02-26",
"GME00127930","BERLIN SCHONEFELD, GM","2020-02-27",
"GME00127930","BERLIN SCHONEFELD, GM","2020-02-28",
"GME00127930","BERLIN SCHONEFELD, GM","2020-02-29",
"GME00127930","BERLIN SCHONEFELD, GM","2020-03-01",
"GME00127930","BERLIN SCHONEFELD, GM","2020-03-02",
"GME00127930","BERLIN SCHONEFELD, GM","2020-03-03",
"GME00127930","BERLIN SCHONEFELD, GM","2020-03-04",
"GME00127930","BERLIN SCHONEFELD, GM","2020-03-05",
"GME00127930","BERLIN SCHONEFELD, GM","2020-03-06",
"GME00127930","BERLIN SCHONEFELD, GM","2020-03-07",
"GME00127930","BERLIN SCHONEFELD, GM","2020-03-08",
"GME00127930","BERLIN SCHONEFELD, GM","2020-03-09",
"GME00127930","BERLIN SCHONEFELD, GM","2020-03-10",
"GME00127930","BERLIN SCHONEFELD, GM","2020-03-11",
"GME00127930","BERLIN SCHONEFELD, GM","2020-03-12",
"GME00127930","BERLIN SCHONEFELD, GM","2020-03-13",
"GME00127930","BERLIN SCHONEFELD, GM","2020-03-14",
"GME00127930","BERLIN SCHONEFELD, GM","2020-03-15",
"GME00127930","BERLIN SCHONEFELD, GM","2020-03-16",
"GME00127930","BERLIN SCHONEFELD, GM","2020-03-17",
"GME00127930","BERLIN SCHONEFELD, GM","2020-03-18",
"GME00127930","BERLIN SCHONEFELD, GM","2020-03-19",
"GME00127930","BERLIN SCHONEFELD, GM","2020-03-20",
"GME00127930","BERLIN SCHONEFELD, GM","2020-03-21",
"GME00127930","BERLIN SCHONEFELD, GM","2020-03-22",
"GME00127930","BERLIN SCHONEFELD, GM","2020-03-23",
"GME00127930","BERLIN SCHONEFELD, GM","2020-03-24",
"GME00127930","BERLIN SCHONEFELD, GM","2020-03-25",
"GME00127930","BERLIN SCHONEFELD, GM","2020-03-26",
"GME00127930","BERLIN SCHONEFELD, GM","2020-03-27",
"GME00127930","BERLIN SCHONEFELD, GM","2020-03-28",
"GME00127930","BERLIN SCHONEFELD, GM","2020-03-29",
"GME00127930","BERLIN SCHONEFELD, GM","2020-03-30",
"GME00127930","BERLIN SCHONEFELD, GM","2020-03-31",
"GME00127930","BERLIN SCHONEFELD, GM","2020-04-01",
"GME00127930","BERLIN SCHONEFELD, GM","2020-04-02",
"GME00127930","BERLIN SCHONEFELD, GM","2020-04-03",
"GME00127930","BERLIN SCHONEFELD, GM","2020-04-04",
"GME00127930","BERLIN SCHONEFELD, GM","2020-04-05",
"GME00127930","BERLIN SCHONEFELD, GM","2020-04-06",
"GME00127930","BERLIN SCHONEFELD, GM","2020-04-07",
"GME00127930","BERLIN SCHONEFELD, GM","2020-04-08",
"GME00127930","BERLIN SCHONEFELD, GM","2020-04-09",
"GME00127930","BERLIN SCHONEFELD, GM","2020-04-10",
"GME00127930","BERLIN SCHONEFELD, GM","2020-04-11",
"GME00127930","BERLIN SCHONEFELD, GM","2020-04-12",
"GME00127930","BERLIN SCHONEFELD, GM","2020-04-13",
"GME00127930","BERLIN SCHONEFELD, GM","2020-04-14",
"GME00127930","BERLIN SCHONEFELD, GM","2020-04-15",
"GME00127930","BERLIN SCHONEFELD, GM","2020-04-16",
"GME00127930","BERLIN SCHONEFELD, GM","2020-04-17",
"GME00127930","BERLIN SCHONEFELD, GM","2020-04-18",
"GME00127930","BERLIN SCHONEFELD, GM","2020-04-19",
"GME00127930","BERLIN SCHONEFELD, GM","2020-04-20",
"GME00127930","BERLIN SCHONEFELD, GM","2020-04-21",
"GME00127930","BERLIN SCHONEFELD, GM","2020-04-22",
"GME00127930","BERLIN SCHONEFELD, GM","2020-04-23",
"GME00127930","BERLIN SCHONEFELD, GM","2020-04-24",
"GME00127930","BERLIN SCHONEFELD, GM","2020-04-25",
"GME00127930","BERLIN SCHONEFELD, GM","2020-04-26",
"GME00127930","BERLIN SCHONEFELD, GM","2020-04-27",
"GME00127930","BERLIN SCHONEFELD, GM","2020-04-28",
"GME00127930","BERLIN SCHONEFELD, GM","2020-04-29",
"GME00127930","BERLIN SCHONEFELD, GM","2020-04-30",
"GME00127930","BERLIN SCHONEFELD, GM","2020-05-01",
"GME00127930","BERLIN SCHONEFELD, GM","2020-05-02",
"GME00127930","BERLIN SCHONEFELD, GM","2020-05-03",
"GME00127930","BERLIN SCHONEFELD, GM","2020-05-04",
"GME00127930","BERLIN SCHONEFELD, GM","2020-05-05",
"GME00127930","BERLIN SCHONEFELD, GM","2020-05-06",
"GME00127930","BERLIN SCHONEFELD, GM","2020-05-07",
"GME00127930","BERLIN SCHONEFELD, GM","2020-05-08",
"GME00127930","BERLIN SCHONEFELD, GM","2020-05-09",
"GME00127930","BERLIN SCHONEFELD, GM","2020-05-10",
"GME00127930","BERLIN SCHONEFELD, GM","2020-05-11",
"GME00127930","BERLIN SCHONEFELD, GM","2020-05-12",
"GME00127930","BERLIN SCHONEFELD, GM","2020-05-13",
"GME00127930","BERLIN SCHONEFELD, GM","2020-05-14",
"GME00127930","BERLIN SCHONEFELD, GM","2020-05-15",
"GME00127930","BERLIN SCHONEFELD, GM","2020-05-16",
"GME00127930","BERLIN SCHONEFELD, GM","2020-05-17",
"GME00127930","BERLIN SCHONEFELD, GM","2020-05-18",
"GME00127930","BERLIN SCHONEFELD, GM","2020-05-19",
"GME00127930","BERLIN SCHONEFELD, GM","2020-05-20",
"GME00127930","BERLIN SCHONEFELD, GM","2020-05-21",
"GME00127930","BERLIN SCHONEFELD, GM","2020-05-22",
"GME00127930","BERLIN SCHONEFELD, GM","2020-05-23",
"GME00127930","BERLIN SCHONEFELD, GM","2020-05-24",
"GME00127930","BERLIN SCHONEFELD, GM","2020-05-25",
"GME00127930","BERLIN SCHONEFELD, GM","2020-05-26",
"GME00127930","BERLIN SCHONEFELD, GM","2020-05-27",
"GME00127930","BERLIN SCHONEFELD, GM","2020-05-28",
"GME00127930","BERLIN SCHONEFELD, GM","2020-05-29",
"GME00127930","BERLIN SCHONEFELD, GM","2020-05-30",
"GME00127930","BERLIN SCHONEFELD, GM","2020-05-31",
"GME00127930","BERLIN SCHONEFELD, GM","2020-06-01",
"GME00127930","BERLIN SCHONEFELD, GM","2020-06-02",
"GME00127930","BERLIN SCHONEFELD, GM","2020-06-03",
"GME00127930","BERLIN SCHONEFELD, GM","2020-06-04",
"GME00127930","BERLIN SCHONEFELD, GM","2020-06-05",
"GME00127930","BERLIN SCHONEFELD, GM","2020-06-06",
"GME00127930","BERLIN SCHONEFELD, GM","2020-06-07",
"GME00127930","BERLIN SCHONEFELD, GM","2020-06-08",
"GME00127930","BERLIN SCHONEFELD, GM","2020-06-09",
"GME00127930","BERLIN SCHONEFELD, GM","2020-06-10",
"GME00127930","BERLIN SCHONEFELD, GM","2020-06-11",
"GME00127930","BERLIN SCHONEFELD, GM","2020-06-12",
"GME00127930","BERLIN SCHONEFELD, GM","2020-06-13",
"GME00127930","BERLIN SCHONEFELD, GM","2020-06-14",
"GME00127930","BERLIN SCHONEFELD, GM","2020-06-15",
"GME00127930","BERLIN SCHONEFELD, GM","2020-06-16",
"GME00127930","BERLIN SCHONEFELD, GM","2020-06-17",
"GME00127930","BERLIN SCHONEFELD, GM","2020-06-18",
"GME00127930","BERLIN SCHONEFELD, GM","2020-06-19",
"GME00127930","BERLIN SCHONEFELD, GM","2020-06-20",
"GME00127930","BERLIN SCHONEFELD, GM","2020-06-21",
"GME00127930","BERLIN SCHONEFELD, GM","2020-06-22",
"GME00127930","BERLIN SCHONEFELD, GM","2020-06-23",
"GME00127930","BERLIN SCHONEFELD, GM","2020-06-24",
"GME00127930","BERLIN SCHONEFELD, GM","2020-06-25",
"GME00127930","BERLIN SCHONEFELD, GM","2020-06-26",
"GME00127930","BERLIN SCHONEFELD, GM","2020-06-27",
"GME00127930","BERLIN SCHONEFELD, GM","2020-06-28",
"GME00127930","BERLIN SCHONEFELD, GM","2020-06-29",
"GME00127930","BERLIN SCHONEFELD, GM","2020-06-30",
"GME00127930","BERLIN SCHONEFELD, GM","2020-07-01",
"GME00127930","BERLIN SCHONEFELD, GM","2020-07-02",
"GME00127930","BERLIN SCHONEFELD, GM","2020-07-03",
"GME00127930","BERLIN SCHONEFELD, GM","2020-07-04",
"GME00127930","BERLIN SCHONEFELD, GM","2020-07-05",
"GME00127930","BERLIN SCHONEFELD, GM","2020-07-06",
"GME00127930","BERLIN SCHONEFELD, GM","2020-07-07",
"GME00127930","BERLIN SCHONEFELD, GM","2020-07-08",
"GME00127930","BERLIN SCHONEFELD, GM","2020-07-09",
"GME00127930","BERLIN SCHONEFELD, GM","2020-07-10",
"GME00127930","BERLIN SCHONEFELD, GM","2020-07-11",
"GME00127930","BERLIN SCHONEFELD, GM","2020-07-12",
"GME00127930","BERLIN SCHONEFELD, GM","2020-07-13",
"GME00127930","BERLIN SCHONEFELD, GM","2020-07-14",
"GME00127930","BERLIN SCHONEFELD, GM","2020-07-15",
"GME00127930","BERLIN SCHONEFELD, GM","2020-07-16",
"GME00127930","BERLIN SCHONEFELD, GM","2020-07-17",
"GME00127930","BERLIN SCHONEFELD, GM","2020-07-18",
"GME00127930","BERLIN SCHONEFELD, GM","2020-07-19",
"GME00127930","BERLIN SCHONEFELD, GM","2020-07-20",
"GME00127930","BERLIN SCHONEFELD, GM","2020-07-21",
"GME00127930","BERLIN SCHONEFELD, GM","2020-07-22",
"GME00127930","BERLIN SCHONEFELD, GM","2020-07-23",
"GME00127930","BERLIN SCHONEFELD, GM","2020-07-24",
"GME00127930","BERLIN SCHONEFELD, GM","2020-07-25",
"GME00127930","BERLIN SCHONEFELD, GM","2020-07-26",
"GME00127930","BERLIN SCHONEFELD, GM","2020-07-27",
"GME00127930","BERLIN SCHONEFELD, GM","2020-07-28",
"GME00127930","BERLIN SCHONEFELD, GM","2020-07-29",
"GME00127930","BERLIN SCHONEFELD, GM","2020-07-30",
"GME00127930","BERLIN SCHONEFELD, GM","2020-07-31",
"GME00127930","BERLIN SCHONEFELD, GM","2020-08-01",
"GME00127930","BERLIN SCHONEFELD, GM","2020-08-02",
"GME00127930","BERLIN SCHONEFELD, GM","2020-08-03",
"GME00127930","BERLIN SCHONEFELD, GM","2020-08-04",
"GME00127930","BERLIN SCHONEFELD, GM","2020-08-05",
"GME00127930","BERLIN SCHONEFELD, GM","2020-08-06",
"GME00127930","BERLIN SCHONEFELD, GM","2020-08-07",
"GME00127930","BERLIN SCHONEFELD, GM","2020-08-08",
"GME00127930","BERLIN SCHONEFELD, GM","2020-08-09",
"GME00127930","BERLIN SCHONEFELD, GM","2020-08-10",
"GME00127930","BERLIN SCHONEFELD, GM","2020-08-11",
"GME00127930","BERLIN SCHONEFELD, GM","2020-08-12",
"GME00127930","BERLIN SCHONEFELD, GM","2020-08-13",
"GME00127930","BERLIN SCHONEFELD, GM","2020-08-14",
"GME00127930","BERLIN SCHONEFELD, GM","2020-08-15",
"GME00127930","BERLIN SCHONEFELD, GM","2020-08-16",
"GME00127930","BERLIN SCHONEFELD, GM","2020-08-17",
"GME00127930","BERLIN SCHONEFELD, GM","2020-08-18",
"GME00127930","BERLIN SCHONEFELD, GM","2020-08-19",
"GME00127930","BERLIN SCHONEFELD, GM","2020-08-20",
"GME00127930","BERLIN SCHONEFELD, GM","2020-08-21",
"GME00127930","BERLIN SCHONEFELD, GM","2020-08-22",
"GME00127930","BERLIN SCHONEFELD, GM","2020-08-23",
"GME00127930","BERLIN SCHONEFELD, GM","2020-08-24",
"GME00127930","BERLIN SCHONEFELD, GM","2020-08-25",
"GME00127930","BERLIN SCHONEFELD, GM","2020-08-26",
"GME00127930","BERLIN SCHONEFELD, GM","2020-08-27",
"GME00127930","BERLIN SCHONEFELD, GM","2020-08-28",
"GME00127930","BERLIN SCHONEFELD, GM","2020-08-29",
"GME00127930","BERLIN SCHONEFELD, GM","2020-08-30",
"GME00127930","BERLIN SCHONEFELD, GM","2020-08-31",
"GME00127930","BERLIN SCHONEFELD, GM","2020-09-01",
"GME00127930","BERLIN SCHONEFELD, GM","2020-09-02",
"GME00127930","BERLIN SCHONEFELD, GM","2020-09-03",
"GME00127930","BERLIN SCHONEFELD, GM","2020-09-04",
"GME00127930","BERLIN SCHONEFELD, GM","2020-09-05",
"GME00127930","BERLIN SCHONEFELD, GM","2020-09-06",
"GME00127930","BERLIN SCHONEFELD, GM","2020-09-07",
"GME00127930","BERLIN SCHONEFELD, GM","2020-09-08",
"GME00127930","BERLIN SCHONEFELD, GM","2020-09-09",
"GME00127930","BERLIN SCHONEFELD, GM","2020-09-10",
"GME00127930","BERLIN SCHONEFELD, GM","2020-09-11",
"GME00127930","BERLIN SCHONEFELD, GM","2020-09-12",
"GME00127930","BERLIN SCHONEFELD, GM","2020-09-13",
"GME00127930","BERLIN SCHONEFELD, GM","2020-09-14",
"GME00127930","BERLIN SCHONEFELD, GM","2020-09-15",
"GME00127930","BERLIN SCHONEFELD, GM","2020-09-16",
"GME00127930","BERLIN SCHONEFELD, GM","2020-09-17",
"GME00127930","BERLIN SCHONEFELD, GM","2020-09-18",
"GME00127930","BERLIN SCHONEFELD, GM","2020-09-19",
"GME00127930","BERLIN SCHONEFELD, GM","2020-09-20",
"GME00127930","BERLIN SCHONEFELD, GM","2020-09-21",
"GME00127930","BERLIN SCHONEFELD, GM","2020-09-22",
"GME00127930","BERLIN SCHONEFELD, GM","2020-09-23",
"GME00127930","BERLIN SCHONEFELD, GM","2020-09-24",
"GME00127930","BERLIN SCHONEFELD, GM","2020-09-25",
"GME00127930","BERLIN SCHONEFELD, GM","2020-09-26",
"GME00127930","BERLIN SCHONEFELD, GM","2020-09-27",
"GME00127930","BERLIN SCHONEFELD, GM","2020-09-28",
"GME00127930","BERLIN SCHONEFELD, GM","2020-09-29",
"GME00127930","BERLIN SCHONEFELD, GM","2020-09-30",
"GME00127930","BERLIN SCHONEFELD, GM","2020-10-01",
"GME00127930","BERLIN SCHONEFELD, GM","2020-10-02",
"GME00127930","BERLIN SCHONEFELD, GM","2020-10-03",
"GME00127930","BERLIN SCHONEFELD, GM","2020-10-04",
"GME00127930","BERLIN SCHONEFELD, GM","2020-10-05",
"GME00127930","BERLIN SCHONEFELD, GM","2020-10-06",
"GME00127930","BERLIN SCHONEFELD, GM","2020-10-07",
"GME00127930","BERLIN SCHONEFELD, GM","2020-10-08",
"GME00127930","BERLIN SCHONEFELD, GM","2020-10-09",
"GME00127930","BERLIN SCHONEFELD, GM","2020-10-10",
"GME00127930","BERLIN SCHONEFELD, GM","2020-10-11",
"GME00127930","BERLIN SCHONEFELD, GM","2020-10-12",
"GME00127930","BERLIN SCHONEFELD, GM","2020-10-13",
"GME00127930","BERLIN SCHONEFELD, GM","2020-10-14",
"GME00127930","BERLIN SCHONEFELD, GM","2020-10-15",
"GME00127930","BERLIN SCHONEFELD, GM","2020-10-16",
"GME00127930","BERLIN SCHONEFELD, GM","2020-10-17",
"GME00127930","BERLIN SCHONEFELD, GM","2020-10-18",
"GME00127930","BERLIN SCHONEFELD, GM","2020-10-19",
"GME00127930","BERLIN SCHONEFELD, GM","2020-10-20",
"GME00127930","BERLIN SCHONEFELD, GM","2020-10-21",
"GME00127930","BERLIN SCHONEFELD, GM","2020-10-22",
"GME00127930","BERLIN SCHONEFELD, GM","2020-10-23",
"GME00127930","BERLIN SCHONEFELD, GM","2020-10-24",
"GME00127930","BERLIN SCHONEFELD, GM","2020-10-25",
"GME00127930","BERLIN SCHONEFELD, GM","2020-10-26",
"GME00127930","BERLIN SCHONEFELD, GM","2020-10-27",
"GME00127930","BERLIN SCHONEFELD, GM","2020-10-28",
"GME00127930","BERLIN SCHONEFELD, GM","2020-10-29",
"GME00127930","BERLIN SCHONEFELD, GM","2020-10-30",
"GME00127930","BERLIN SCHONEFELD, GM","2020-10-31",
